Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Spider-Man,false,90,209150,8,6,16,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Man (Big Time),false,1,108,8,5,1,1,1,i,i,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Spider-Man (Miles),false,90,203784,8,6,15,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Man (Noir),false,75,94757,6,6,14,6,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Man (Symbiote),false,85,183284,8,7,15,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Man 2099,false,91,214566,8,7,16,7,7,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Punk,false,90,204345,8,7,15,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Spider-Weaver,false,95,385049,8,8,17,7,7,7,5,Striker,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Spider-Woman,false,80,160274,7,7,15,7,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Squirrel Girl,false,90,211806,8,7,16,7,7,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Star-Lord,false,80,121624,8,6,15,6,6,7,5,Raider,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Star-Lord (Annihilation),false,95,239348,6,6,18,7,7,7,5,Skirmisher,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Star-Lord (T'Challa),false,85,164836,7,6,16,6,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Stature,false,60,58184,8,6,11,6,6,6,4,Fortifier,2,2,2,2,2,2
mgmf,SIGMA Infamously Strange,Storm,false,85,191669,8,8,15,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Strange (Heartless),false,92,283747,8,7,17,7,7,7,5,Raider,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Stryfe,false,75,117938,8,7,14,6,6,6,5,Fortifier,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Sunfire,false,90,207463,8,8,17,7,7,7,5,Striker,10,10,10,10,10,10
